by 医工学习日志 v2.3.5 2024-10-14
央视频道,#genre#
天津卫视,http://221.232.101.62:4000/udp/239.69.1.68:10048
贵州卫视,http://iworknet.cn:8888/udp/239.69.1.150:10536
贵州卫视,http://219.139.62.21:60001/udp/239.69.1.150:10536
贵州卫视,http://221.232.101.62:4000/udp/239.69.1.150:10536
贵州卫视,http://116.207.108.62:4000/udp/239.69.1.150:10536
贵州卫视,http://171.114.230.99:4000/udp/239.69.1.150:10536
贵州卫视,http://www.iworknet.cn:8888/udp/239.69.1.150:10536
四川卫视,http://221.232.101.62:4000/udp/239.69.1.169:10650
四川卫视,http://iworknet.cn:8888/udp/239.69.1.169:10650
四川卫视,http://116.207.108.62:4000/udp/239.69.1.169:10650
四川卫视,http://219.139.62.21:60001/udp/239.69.1.169:10650
四川卫视,http://www.iworknet.cn:8888/udp/239.69.1.169:10650
四川卫视,http://171.114.230.99:4000/udp/239.69.1.169:10650
广西卫视,http://iworknet.cn:8888/udp/239.69.1.191:10788
广西卫视,http://171.114.230.99:4000/udp/239.69.1.191:10788
广西卫视,http://219.139.62.21:60001/udp/239.69.1.191:10788
广西卫视,http://116.207.108.62:4000/udp/239.69.1.191:10788
广西卫视,http://www.iworknet.cn:8888/udp/239.69.1.191:10788
广西卫视,http://221.232.101.62:4000/udp/239.69.1.191:10788
黑龙江卫视,http://171.114.230.99:4000/udp/239.254.96.138:8902
黑龙江卫视,http://www.iworknet.cn:8888/udp/239.254.96.138:8902
黑龙江卫视,http://219.139.62.21:60001/udp/239.254.96.138:8902
黑龙江卫视,http://221.232.101.62:4000/udp/239.254.96.138:8902
黑龙江卫视,http://116.207.108.62:4000/udp/239.254.96.138:8902
黑龙江卫视,http://iworknet.cn:8888/udp/239.254.96.138:8902
安徽卫视,http://221.232.101.62:4000/udp/239.69.1.70:10060
安徽卫视,http://iworknet.cn:8888/udp/239.69.1.70:10060
安徽卫视,http://171.114.230.99:4000/udp/239.69.1.70:10060
安徽卫视,http://116.207.108.62:4000/udp/239.69.1.70:10060
安徽卫视,http://www.iworknet.cn:8888/udp/239.69.1.70:10060
安徽卫视,http://219.139.62.21:60001/udp/239.69.1.70:10060
江西卫视,http://www.iworknet.cn:8888/udp/239.69.1.126:10394
江西卫视,http://iworknet.cn:8888/udp/239.69.1.126:10394
江西卫视,http://171.114.230.99:4000/udp/239.69.1.126:10394
江西卫视,http://219.139.62.21:60001/udp/239.69.1.126:10394
江西卫视,http://116.207.108.62:4000/udp/239.69.1.126:10394
江西卫视,http://221.232.101.62:4000/udp/239.69.1.126:10394
湖北卫视,http://221.232.101.62:4000/udp/239.254.96.115:8664
湖北卫视,http://171.114.230.99:4000/udp/239.254.96.115:8664
湖北卫视,http://iworknet.cn:8888/udp/239.254.96.115:8664
湖北卫视,http://116.207.108.62:4000/udp/239.254.96.115:8664
湖北卫视,http://www.iworknet.cn:8888/udp/239.254.96.115:8664
湖北卫视,http://219.139.62.21:60001/udp/239.254.96.115:8664
旅游卫视,http://171.114.230.99:4000/udp/239.69.1.151:10542
旅游卫视,http://www.iworknet.cn:8888/udp/239.69.1.151:10542
旅游卫视,http://116.207.108.62:4000/udp/239.69.1.151:10542
旅游卫视,http://iworknet.cn:8888/udp/239.69.1.151:10542
旅游卫视,http://219.139.62.21:60001/udp/239.69.1.151:10542
旅游卫视,http://221.232.101.62:4000/udp/239.69.1.151:10542
东南卫视,http://219.139.62.21:60001/udp/239.69.1.108:10286
